Text,Author,Tags,Author Image,Opus
“I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain.”,"Frank Herbert,","bene-gesserit, fear, litany-against-fear, motivational, scifi","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1591018335i/58._UX200_CR0,0,200,200_.jpg",Dune
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,"Roy T. Bennett,","attitude, choice, giving, happiness, inspirational, kindness, life-and-living, life-lessons, motivational, positive-affirmation",,The Light in the Heart
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,"Roy T. Bennett,","dreams, fearless, heart, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, mind, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking",,The Light in the Heart
"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”","Roy T. Bennett,","achievement, believe-in-yourself, brave, courage, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, talent",,The Light in the Heart
“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,"Roy T. Bennett,","brave, courage, dreams, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, purpose, vision",,The Light in the Heart
"“It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”",Roy T. Bennett,"change, focus, grow, growth, inspiration, inspirational, inspirational-quotes, inspire, inspiring, leader, leaders, leadership, life, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, stay-focused, step-out-of-comfort-zone, transform",,
"“The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.”","Steve Maraboli,","forgiveness, inspirational, letting-go, life, motivational, moving-forward, truth","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1574364064i/4491185._UY200_CR10,0,200,200_.jpg",Unapologetically You: Reflections on Life and the Human Experience
"“Do what is right, not what is easy nor what is popular.”","Roy T. Bennett,","inspirational, integrity, motivational, what-is-right",,The Light in the Heart
"“Success is not how high you have climbed, but how you make a positive difference to the world.”","Roy T. Bennett,","inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, leader, leadership, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, success",,The Light in the Heart
"“Dare to BeWhen a new day begins, dare to smile gratefully.When there is darkness, dare to be the first to shine a light.When there is injustice, dare to be the first to condemn it.When something seems difficult, dare to do it anyway.When life seems to beat you down, dare to fight back.When there seems to be no hope, dare to find some.When you’re feeling tired, dare to keep going.When times are tough, dare to be tougher.When love hurts you, dare to love again.When someone is hurting, dare to help them heal.When another is lost, dare to help them find the way.When a friend falls, dare to be the first to extend a hand.When you cross paths with another, dare to make them smile.When you feel great, dare to help someone else feel great too.When the day has ended, dare to feel as you’ve done your best.Dare to be the best you can –At all times, Dare to be!”","Steve Maraboli,","compassion, dare-to-be, gratitude, inspirational, life, motivational, seize-the-day, smile, success","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/authors/1574364064i/4491185._UY200_CR10,0,200,200_.jpg","Life, the Truth, and Being Free"
